"Data Source","World Development Indicators",

"Last Updated Date","2015-10-14",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015",
"Central African Republic","CAF","School enrollment, tertiary (% gross)","SE.TER.ENRR","","","","","","","","","","","","0.10346","","","0.23944","0.25412","0.3979","0.42957","0.56711","0.80769","1.10162","0.87435","1.25144","1.02429","1.10431","1.11751","1.14089","1.03673","1.14591","1.25633","1.39254","1.49694","1.39453","","","","","","","1.8960200548172","1.86961996555328","","","","1.71540999412537","","1.14139997959137","","2.31430006027222","2.49129009246826","2.6120400428772","3.05465006828308","2.84085988998413","","","",
"Canada","CAN","School enrollment, tertiary (% gross)","SE.TER.ENRR","","","","","","","","","","","","","","","","","47.85767","","","","","","","","","","70.31145","","","82.71454","90.09741","95.06687","97.09278","87.73651","89.59403","90.03556","88.72125","","59.21494","59.9894790649414","58.883731842041","","","","","","","","","","","","","","","",
"Central Europe and the Baltics","CEB","School enrollment, tertiary (% gross)","SE.TER.ENRR","","","","","","","","","","","12.9346504211426","12.921290397644","12.7091102600098","12.9238700866699","13.4806499481201","14.0698299407959","14.8321104049683","15.3903903961182","15.7769002914429","15.8157796859741","15.9719295501709","16.2459106445313","16.5412406921387","16.7136707305908","17.1583003997803","17.2767200469971","17.3152809143066","17.0510902404785","16.7328796386719","16.9015197753906","17.01535987854","18.0041599273682","18.1252307891846","19.6257705688477","22.3959999084473","24.7188491821289","28.4302406311035","31.107479095459","31.9558391571045","35.6376800537109","39.0993804931641","43.2200012207031","46.740608215332","50.1549301147461","53.3838691711426","56.6374702453613","59.0879211425781","61.3253593444824","63.9912490844727","65.3810195922852","65.63916015625","64.4702987670898","64.6060104370117","63.7787590026855","","",
"Switzerland","CHE","School enrollment, tertiary (% gross)","SE.TER.ENRR","","","","","","","","","","","","10.03851","10.56786","11.34902","12.3944","13.14851","13.8285","15.67804","16.32583","17.11934","17.82334","18.455","18.75094","18.73803","19.31886","20.97693","21.53112","22.56767","23.27373","23.90391","25.51446","26.77424","28.05637","29.1539","30.39728","31.27466","32.33363","","35.21578","36.9128189086914","37.6938095092773","39.6812782287598","40.8515510559082","43.9438285827637","45.5113906860352","45.7188911437988","46.4449081420898","47.1232299804688","48.6819381713867","49.9724998474121","52.7572288513184","54.3382682800293","55.5619010925293","56.4882316589355","","",
"Channel Islands","CHI","School enrollment, tertiary (% gross)","SE.TER.ENRR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","School enrollment, tertiary (% gross)","SE.TER.ENRR","","","","","","","","","","","9.12461","11.41439","13.91671","15.46424","14.72783","14.56828","12.55399","11.85578","11.35366","10.67189","11.82676","","12.2873","13.73657","14.51414","15.28826","16.83505","17.85137","18.84338","","","20.95631","23.75866","26.09511","27.20848","28.33411","30.90173","32.40402","34.5866","37.9214782714844","37.18505859375","","40.3658981323242","42.7166900634766","42.6726913452148","47.6643104553223","46.5433006286621","52.1139602661133","54.8567390441895","59.0126991271973","65.9344329833984","70.5193481445313","74.3919906616211","78.6788864135742","","",
"China","CHN","School enrollment, tertiary (% gross)","SE.TER.ENRR","","","","","","","","","","","0.13147","","","0.21279","0.34894","0.48987","0.57948","0.65435","0.72553","0.98688","1.14689","1.79426","","","2.01724","2.45129","3.02037","3.20274","3.19928","3.11742","3.09806","3.00383","2.89561","2.96883","3.70609","4.50973","5.0668","5.55161","6.09553","6.60974979400635","7.7568302154541","9.83335018157959","12.419810295105","14.9673700332642","17.0164794921875","18.3408699035645","19.5187797546387","19.9668998718262","20.1872692108154","21.8237209320068","23.3215293884277","24.3284091949463","26.7000007629395","29.6964492797852","","",
"Cote d'Ivoire","CIV","School enrollment, tertiary (% gross)","SE.TER.ENRR","","","","","","","","","","","","1.01277","1.03658","1.23485","1.28518","","1.37462","1.59251","1.7765","2.06328","2.26829","2.94304","2.68162","","2.45253","2.43431","","2.68308","","","","","2.7526","3.31009","4.17019","4.17694","","6.47946","","6.64284992218018","","","","","","","","9.55895042419434","","9.02871990203857","8.35914993286133","","4.46391010284424","9.10258007049561","","",
"Cameroon","CMR","School enrollment, tertiary (% gross)","SE.TER.ENRR","","","","","","","","","","","","0.46451","0.58333","0.74436","0.89876","1.02515","","","","1.58269","1.77051","1.57492","1.63079","1.6987","1.89112","2.08017","","2.3449","2.51364","2.50492","2.85826","3.15683","","","","","","","","4.87573003768921","4.61460018157959","4.62893009185791","5.05543994903564","5.0899600982666","5.05736017227173","5.8057599067688","6.7541298866272","7.19805002212524","7.80835008621216","8.95188999176025","11.0224199295044","11.9067497253418","","","","",
"Congo, Rep.","COG","School enrollment, tertiary (% gross)","SE.TER.ENRR","","","","","","","","","","","","1.59449","1.28021","1.75017","2.07086","2.34148","2.44622","2.76772","3.24216","3.75503","4.56178","4.66698","5.51874","5.65501","5.75998","5.80742","5.72835","5.70144","6.02635","4.98518","4.90141","4.8183","5.25808","5.82632","","","","","","3.68510007858276","5.22164011001587","4.36318016052246","3.88884997367859","3.88115000724792","","","","","","6.51997995376587","","9.06462955474854","10.3644399642944","9.63020992279053","","",
